"id","label","skill_type","source_ids","target_mode","unlock_tech","status"
"build_drone_bay","Build Drone Bay","build","worker|base","placement","support_protocols","planned"
"build_shield_array","Build Shield Array","build","worker|base","placement","infantry_armor_2","planned"
"build_artillery_foundry","Build Artillery Foundry","build","worker|base","placement","precision_targeting","planned"
"build_air_control_hub","Build Air Control Hub","build","worker|base","placement","drone_link","planned"
"build_command_uplink","Build Command Uplink","build","worker|base","placement","quantum_command","planned"
"train_fabrication_drone","Fabrication Drone","train","drone_bay","none","drone_link","planned"
"train_shieldbearer","Shield Bearer","train","shield_array","none","reactive_shields","planned"
"train_logistics_officer","Logistics Officer","train","command_uplink","none","logistics_network","planned"
"train_assault_mech","Assault Mech","train","warp_gate","none","servo_actuators","planned"
"train_aa_mech","AA Mech","train","air_control_hub","none","air_control","planned"
"train_support_mech","Support Mech","train","warp_gate","none","support_protocols","planned"
"train_artillery_mech","Artillery Mech","train","artillery_foundry","none","siege_calibration","planned"
"train_vanguard","Vanguard","train","command_uplink","none","command_matrix","planned"
"research_logistics_network","Logistics Network","research","command_uplink","none","logistics_network","planned"
"research_mech_weapons_2","Mech Weapons II","research","tech_lab","none","mech_weapons_2","planned"
"research_mech_plating_2","Mech Plating II","research","tech_lab","none","mech_plating_2","planned"
"research_siege_calibration","Siege Calibration","research","artillery_foundry","none","siege_calibration","planned"
"research_drone_link","Drone Link","research","drone_bay","none","drone_link","planned"
"research_reactive_shields","Reactive Shields","research","shield_array","none","reactive_shields","planned"
"research_command_matrix","Command Matrix","research","command_uplink","none","command_matrix","planned"
