"id","display_name","tier","branch","research_buildings","requires_tech","status"
"infantry_weapons_3","Infantry Weapons III","T3","infantry","tech_lab","infantry_weapons_2","planned"
"infantry_armor_3","Infantry Armor III","T3","infantry","tech_lab","infantry_armor_2","planned"
"heavy_plating","Heavy Plating","T2","heavy","engineering_bay","infantry_armor_1","existing"
"mech_chassis","Mech Chassis","T2","heavy","engineering_bay","field_logistics","existing"
"mech_weapons_3","Mech Weapons III","T4","heavy","command_uplink","mech_weapons_2","planned"
"mech_plating_3","Mech Plating III","T4","heavy","command_uplink","mech_plating_2","planned"
"precision_targeting","Precision Targeting","T3","command","tech_lab","infantry_weapons_2|field_logistics","existing"
"quantum_command","Quantum Command","T4","command","void_core","precision_targeting|heavy_plating","existing"
"orbital_targeting","Orbital Targeting","T4","command","orbital_array","command_matrix","planned"
"phase_manipulation","Phase Manipulation","T4","command","void_core","command_matrix|orbital_targeting","planned"
