keys,zh_CN
" (%d-%d/%d)"," (%d-%d/%d)"
" | Active %s"," | 当前 %s"
" | Page %d/%d PgUp/PgDn"," | 第 %d/%d 页 PgUp/PgDn"
" | PgUp/PgDn"," | PgUp/PgDn"
" | PgUp/PgDn Selection Page"," | PgUp/PgDn 选择页"
"%d Selected","已选中 %d"
"%s (%d/%d)","%s (%d/%d)"
"[DEFEAT] Main Base destroyed (test notice).","[失败] 主基地被摧毁（测试提示）。"
"[VICTORY] Enemy core destroyed (test notice).","[胜利] 敌方核心被摧毁（测试提示）。"
"\nHP: %s","\n生命: %s"
"A: Attack / S: Stop","A: 攻击 / S: 停止"
"Academy","学院"
"Advanced Targeting","高级瞄准"
"All","全部"
"All production queues are full.","所有生产队列已满。"
"Already researched.","已完成研究。"
"Armor I","护甲 I"
"Armor Type: --","护甲类型: --"
"Armor Type: Light","护甲类型: 轻型"
"Armor Type: Structure","护甲类型: 建筑"
"Army (F2)","军队 (F2)"
"Assigned worker is unavailable.","指派工人不可用。"
"Attack","攻击"
"Attacking","攻击中"
"Attack-Move","攻击移动"
"B: Build Menu","B: 建造菜单"
"B: Build Menu | Open build options from selected builder","B: 建造菜单 | 从当前选中建造者打开建造选项"
"Back","返回"
"Back to build categories.","返回建造分类。"
"Barracks","兵营"
"Bio Vat","生化舱"
"Build","建造"
"Build Menu [%s]: %s | ESC Back","建造菜单[%s]: %s | ESC返回"
"Build menu open. Select a building option or press ESC to close.","建造菜单已打开。请选择建筑或按ESC关闭。"
"Build Menu: No available options | ESC Back","建造菜单: 无可用选项 | ESC返回"
"Building","建筑"
"Buildings: %s","建筑需求: %s"
"Cancel","取消"
"Cancel+Destroy","取消并摧毁"
"Cancel+Eject","取消并弹出"
"Categories","分类"
"Click command cards / hotkeys for production. RMB sets rally point (M/G/A/F/R flag + tone).","点击指令卡或热键生产。右键设置集结点（M/G/A/F/R 标记 + 音效）。"
"Click command cards or use hotkeys for production/build commands.","点击指令卡或使用热键执行生产/建造命令。"
"Confirm Build","确认建造"
"Constructing","施工中"
"Constructing %d%%","施工中 %d%%"
"Constructing: %d active worker build order(s).","施工中: %d 个工人建造任务。"
"Construction canceled: %d site(s), +%d minerals.","施工已取消：%d 个地块，返还 +%d 矿物。"
"Construction canceled: %d site(s).","施工已取消：%d 个地块。"
"Construction exit: %d worker(s) released.","退出施工：已释放 %d 名工人。"
"Construction resumed.","施工已恢复。"
"Construction site selected. Use command card for cancel/eject/select-worker operations.","已选施工地块。使用指令卡执行取消/弹出/选工人操作。"
